Date,Open,High,Low,Close,Volume
2011-01-04,13530.35,13530.35,13326.7,13402.31,203992816
2011-01-05,13365.33,13400.03,13301.15,13395.99,226953936
2011-01-06,13407.56,13413.18,13290.89,13311.67,225910272
2011-01-07,13263.08,13329.64,13233.32,13272.3,208031120
2011-01-10,13291.61,13295.37,13139.5,13245.12,179375792
2011-01-11,13341.9,13421.81,13245.12,13401.05,248494592
2011-01-12,13467.43,13497.68,13402.27,13460.21,270387744
2011-01-13,13492.26,13505.44,13383.53,13401.48,279592608
2011-01-14,13408.89,13464.06,13376.14,13464.06,245390832
2011-01-17,13427.11,13472.99,13424.38,13440.11,93109000
2011-01-18,13486.19,13565.62,13440.69,13559.2,288004640
2011-01-19,13570.06,13572.32,13411.45,13439.04,219379792
2011-01-20,13362.41,13429.5,13238.89,13331.32,260261888
2011-01-21,13355.29,13408.01,13258.57,13258.57,406148768
2011-01-24,13313.74,13369.33,13264.72,13347.58,185934480
2011-01-25,13322.4,13347.04,13192.72,13259.63,253727904
2011-01-26,13300.27,13477.93,13259.63,13465.75,252211984
2011-01-27,13473.01,13497.2,13397.46,13410.2,215484608
2011-01-28,13406.42,13497.55,13406.03,13437.58,234654080
2011-01-31,13449.74,13588.47,13438.38,13551.99,231294448
2011-02-01,13617.7,13714.49,13552.27,13712.62,253788928
2011-02-02,13729.09,13731.3,13673.14,13680.29,193310880
2011-02-03,13733.05,13844.11,13683.46,13841.35,287565504
2011-02-04,13843.51,13863.13,13778.1,13791.85,212051360
2011-02-07,13854.06,13872.13,13791.81,13811.93,240762144
2011-02-08,13841.3,13909.84,13786.4,13892.52,219467616
2011-02-09,13892.3,13905.41,13774.77,13784.3,218829408
2011-02-10,13741.62,13848.59,13692.79,13840.57,210192368
2011-02-11,13823.82,13854.01,13766.76,13766.76,190407872
2011-02-14,13835.11,13923.42,13776.6,13910.77,198345936
2011-02-15,13944.79,13971.83,13910.7,13929.35,202771520
2011-02-16,13980.12,14092.29,13929.61,14059.18,220114720
2011-02-17,14068.66,14136.15,14018.64,14136.15,221043904
2011-02-18,14153.55,14156.37,14094.72,14123.11,242268528
2011-02-22,14155.57,14160.7,13946.22,13963.68,247888048
2011-02-23,13983.34,14080.89,13951.17,13956.19,256081856
2011-02-24,13994.16,14034.62,13810.54,13867.31,249330512
2011-02-25,13950.39,14052.13,13885.87,14052.13,252045696
2011-02-28,14083.01,14159.94,14053.12,14136.5,287666048
2011-03-01,14167.01,14213.21,14092.35,14122.85,237699824
2011-03-02,14123.16,14160.91,14093.02,14144.02,210064960
2011-03-03,14184.03,14220.22,14143.88,14214.72,248627968
2011-03-04,14260.26,14280.62,14214.53,14252.77,203106432
