Date,Open,930,315,Close,Volume
2017-01-02,8210.1,8163.65,8178.25,8179.2,0
2017-01-03,8195.25,8155.9,8189.75,8189.05,0
2017-01-04,8200.8,8199.05,8188.55,8196.35,0
2017-01-05,8226.65,8250.0,8272.5,8270.5,0
2017-01-06,8283.0,8294.5,8242.35,8248.2,0
2017-01-09,8259.1,8238.25,8235.45,8234.55,0
2017-01-10,8262.7,8268.9,8284.6,8290.3,0
2017-01-11,8329.85,8342.45,8379.75,8374.3,0
2017-01-12,8391.05,8412.55,8407.15,8409.15,0
2017-01-13,8457.65,8408.8,8398.3,8397.8,0
2017-01-16,8390.95,8385.25,8410.35,8418.7,0
2017-01-17,8415.05,8432.35,8402.05,8388.8,0
2017-01-18,8408.95,8451.1,8422.15,8413.75,0
2017-01-19,8418.4,8418.4,8434.35,8431.2,0
2017-01-20,8404.35,8409.9,8346.95,8343.85,0
2017-01-23,8329.6,8388.05,8390.95,8398.0,0
2017-01-24,8407.05,8426.6,8472.9,8476.75,0
2017-01-25,8499.45,8517.75,8605.85,8597.5,0
2017-01-27,8610.5,8653.65,8642.95,8641.95,0
2017-01-30,8635.45,8624.95,8630.5,8633.7,0
2017-01-31,8629.45,8588.75,8566.1,8556.55,0
2017-02-01,8570.35,8564.95,8717.65,8715.5,0
2017-02-02,8725.15,8722.4,8729.75,8722.3,0
2017-02-03,8735.15,8733.3,8743.1,8738.55,0
2017-02-06,8785.45,8802.05,8801.05,8796.1,0
2017-02-07,8805.7,8785.7,8764.55,8770.75,0
2017-02-08,8774.55,8774.05,8774.95,8775.8,0
2017-02-09,8795.55,8813.15,8782.15,8786.55,0
2017-02-10,8812.35,8801.35,8792.0,8794.05,0
2017-02-13,8818.85,8803.5,8808.7,8802.05,0
2017-02-14,8819.9,8786.0,8797.35,8784.15,0
2017-02-15,8777.65,8790.75,8726.5,8728.2,0
2017-02-16,8739.0,8728.45,8778.85,8777.8,0
2017-02-17,8883.7,8815.3,8821.75,8816.95,0
2017-02-20,8818.55,8823.05,8864.85,8884.25,0
2017-02-21,8890.75,8885.15,8909.9,8903.25,0
2017-02-22,8931.45,8926.95,8931.4,8930.1,0
2017-02-23,8952.55,8949.95,8929.3,8941.2,0
2017-02-27,8943.7,8948.45,8899.5,8896.45,0
2017-02-28,8898.95,8895.1,8873.05,8875.2,0
2017-03-01,8904.4,8938.0,8948.15,8941.8,0
2017-03-02,8982.85,8982.45,8889.55,8893.9,0
2017-03-03,8885.55,8883.95,8891.75,8902.2,0
2017-03-06,8915.1,8946.45,8965.6,8962.6,0
2017-03-07,8977.75,8954.35,8946.1,8944.95,0
2017-03-08,8950.7,8948.6,8925.5,8923.85,0
2017-03-09,8914.5,8914.95,8926.75,8927.8,0
2017-03-10,8953.7,8952.25,8930.45,8936.85,0
2017-03-14,9091.65,9064.45,9089.9,9073.35,0
2017-03-15,9086.85,9082.4,9090.65,9082.6,0
2017-03-16,9129.65,9143.65,9153.3,9157.3,0
2017-03-17,9207.8,9181.15,9158.45,9152.15,0
2017-03-20,9166.95,9136.0,9126.65,9129.55,0
2017-03-21,9133.95,9136.55,9122.75,9126.1,0
2017-03-22,9047.2,9062.1,9030.45,9027.65,0
2017-03-23,9048.75,9065.65,9088.95,9081.8,0
2017-03-24,9104.0,9116.95,9107.55,9100.4,0
2017-03-27,9093.45,9080.2,9044.15,9052.9,0
2017-03-28,9081.5,9091.7,9097.1,9108.3,0
2017-03-29,9128.7,9114.35,9146.15,9145.05,0
2017-03-30,9142.6,9166.45,9172.95,9158.95,0
2017-03-31,9158.9,9171.8,9170.3,9170.7,0
2017-04-03,9220.6,9197.4,9235.65,9243.0,0
2017-04-05,9264.4,9237.0,9270.8,9256.9,0
2017-04-06,9245.8,9235.9,9264.4,9256.65,0
2017-04-07,9223.7,9235.9,9193.5,9196.9,0
2017-04-10,9225.6,9198.9,9182.4,9176.8,0
2017-04-11,9184.55,9197.5,9236.0,9233.8,0
2017-04-12,9242.5,9211.1,9207.55,9201.05,0
2017-04-13,9202.5,9180.5,9149.45,9147.3,0
2017-04-17,9144.75,9131.75,9135.6,9139.35,0
2017-04-18,9163.0,9209.05,9107.5,9100.45,0
2017-04-19,9112.2,9104.15,9099.65,9114.05,0
2017-04-20,9108.1,9115.0,9141.05,9136.1,0
2017-04-21,9179.1,9155.45,9118.05,9119.3,0
2017-04-24,9135.35,9149.8,9219.55,9217.7,0
2017-04-25,9273.05,9260.5,9306.45,9303.75,0
2017-04-26,9336.2,9340.05,9357.4,9344.1,0
2017-04-27,9359.15,9346.05,9338.8,9328.7,0
2017-04-28,9340.95,9309.45,9299.6,9304.65,0
2017-05-02,9339.85,9340.75,9313.15,9317.3,0
2017-05-03,9344.7,9326.35,9311.15,9304.0,0
2017-05-04,9360.95,9350.65,9361.1,9356.75,0
2017-05-05,9374.55,9325.5,9284.45,9277.6,0
2017-05-08,9311.45,9308.05,9319.85,9310.75,0
2017-05-09,9337.35,9314.55,9318.2,9317.3,0
2017-05-10,9339.65,9359.35,9405.9,9412.45,0
2017-05-11,9448.6,9433.3,9426.65,9412.4,0
2017-05-12,9436.65,9397.5,9397.6,9408.55,0
2017-05-15,9433.55,9428.65,9446.2,9445.6,0
2017-05-16,9461.0,9486.1,9511.05,9510.25,0
2017-05-17,9517.6,9505.6,9529.6,9516.55,0
2017-05-18,9453.2,9479.5,9436.8,9423.75,0
2017-05-19,9469.9,9491.25,9420.95,9435.4,0
2017-05-22,9480.25,9473.8,9436.05,9438.0,0
2017-05-23,9445.05,9402.55,9383.2,9379.4,0
2017-05-24,9410.9,9397.8,9360.55,9370.15,0
2017-05-25,9384.05,9407.95,9515.6,9501.25,0
2017-05-26,9507.75,9536.65,9595.2,9580.9,0
2017-05-29,9560.05,9613.15,9603.25,9598.45,0
2017-05-30,9590.65,9617.85,9620.85,9625.85,0
2017-05-31,9636.55,9623.2,9624.65,9625.7,0
2017-06-01,9603.55,9626.85,9617.65,9616.6,0
2017-06-02,9657.15,9648.95,9654.6,9642.35,0
2017-06-05,9656.3,9655.45,9674.25,9676.45,0
2017-06-06,9704.25,9655.0,9634.75,9636.9,0
2017-06-07,9663.95,9662.35,9665.05,9662.15,0
2017-06-08,9682.4,9647.65,9646.2,9642.7,0
2017-06-09,9638.55,9615.25,9667.0,9666.65,0
2017-06-12,9646.7,9630.95,9616.2,9618.1,0
2017-06-13,9615.55,9638.55,9613.85,9597.5,0
2017-06-14,9621.55,9606.25,9616.95,9613.0,0
2017-06-15,9617.9,9605.1,9579.45,9574.15,0
2017-06-16,9595.45,9595.85,9589.6,9578.0,0
2017-06-19,9626.4,9631.4,9658.1,9654.15,0
2017-06-20,9670.5,9665.15,9655.85,9649.95,0
2017-06-21,9648.1,9617.35,9629.45,9636.45,0
2017-06-22,9642.65,9665.25,9636.9,9624.0,0
2017-06-23,9643.25,9606.35,9573.25,9576.15,0
2017-06-27,9594.05,9558.6,9518.75,9509.8,0
2017-06-28,9520.2,9499.05,9493.35,9492.8,0
2017-06-29,9522.95,9551.45,9500.1,9494.25,0
2017-06-30,9478.5,9465.3,9517.5,9524.95,0
2017-07-03,9587.95,9554.45,9611.3,9615.55,0
2017-07-04,9645.9,9637.5,9613.0,9610.65,0
2017-07-05,9619.75,9611.4,9639.45,9641.35,0
2017-07-06,9653.6,9657.4,9671.95,9668.95,0
2017-07-07,9670.35,9660.7,9664.6,9665.35,0
2017-07-10,9698.25,9668.1,9771.55,9762.2,0
2017-07-11,9797.45,9802.65,9791.35,9786.4,0
2017-07-12,9807.3,9818.7,9814.45,9822.85,0
2017-07-13,9855.8,9868.45,9891.75,9886.25,0
2017-07-14,9913.3,9883.55,9887.0,9886.7,0
2017-07-17,9908.15,9898.8,9919.05,9913.65,0
2017-07-18,9832.7,9871.7,9829.95,9828.45,0
2017-07-19,9855.95,9863.4,9897.25,9902.05,0
2017-07-20,9920.2,9903.45,9872.05,9870.9,0
2017-07-21,9899.6,9904.8,9916.9,9914.15,0
2017-07-24,9936.8,9932.8,9966.1,9965.55,0
2017-07-25,10010.55,9984.6,9961.75,9964.8,0
2017-07-26,9983.65,9983.4,10021.9,10020.3,0
2017-07-27,10063.25,10084.65,10017.45,10020.6,0
2017-07-28,9996.55,9978.1,10014.8,10002.95,0
2017-07-31,10034.7,10036.05,10078.85,10076.95,0
2017-08-01,10101.05,10091.8,10118.55,10120.35,0
2017-08-02,10136.3,10113.85,10091.55,10058.1,0
2017-08-03,10081.15,10052.3,10020.25,10003.85,0
2017-08-04,10008.6,10020.7,10070.65,10068.5,0
2017-08-07,10074.8,10074.5,10054.8,10049.6,0
2017-08-08,10068.35,10059.85,9972.15,9977.1,0
2017-08-09,9961.15,9951.85,9911.65,9900.3,0
2017-08-10,9872.85,9845.9,9814.95,9850.0,0
2017-08-11,9712.15,9735.5,9717.3,9712.95,0
2017-08-14,9755.75,9787.15,9797.0,9790.85,0
2017-08-16,9825.85,9784.45,9895.65,9900.65,0
2017-08-17,9945.55,9933.05,9889.8,9903.85,0
2017-08-18,9865.95,9835.3,9843.35,9834.45,0
