Date,ACC,ADANIENT,ADANIGREEN,ADANIPORTS,ADANITRANS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,DMART,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BAJAJHLDNG,BANDHANBNK,BANKBARODA,BERGEPAINT,BPCL,BHARTIARTL,BIOCON,BOSCHLTD,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,COLPAL,DLF,DABUR,DIVISLAB,DRREDDY,EICHERMOT,NYKAA,GAIL,GLAND,GODREJCP,GRASIM,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HAVELLS,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ICICIGI,ICICIPRULI,ITC,IOC,INDUSTOWER,INDUSINDBK,NAUKRI,INFY,INDIGO,JSWSTEEL,JUBLFOOD,KOTAKBANK,LTI,LT,LUPIN,M&M,MARICO,MARUTI,MINDTREE,MUTHOOTFIN,NMDC,NTPC,NESTLEIND,ONGC,PAYTM,PIIND,PIDILITIND,PEL,POWERGRID,PGHH,PNB,RELIANCE,SBICARD,SBILIFE,SRF,SHREECEM,SIEMENS,SBIN,SAIL,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,TORNTPHARM,UPL,ULTRACEMCO,MCDOWELL-N,VEDL,WIPRO,ZOMATO,ZYDUSLIFE
2015-01-01,1403.55,490.0,,319.55,,227.75,1125.9,749.15,,503.05,2452.15,3499.7,1286.6,1407.1,,1083.05,405.35,654.2,362.9,425.05,19454.1,1831.5,473.0,628.4,380.05,1805.85,137.4,232.4,1745.45,3210.5,15262.35,,442.6,,965.9,3402.5,1606.8,,952.05,,276.3,3105.4,158.45,758.45,1124.0,352.3,,,367.15,336.45,339.3,812.0,855.75,1974.4,,1065.9,1365.7,1258.6,,1502.95,1429.2,1237.05,323.85,3340.75,1295.85,214.4,148.25,142.45,6317.95,344.05,,537.9,549.25,832.8,137.1,5811.1,219.65,887.9,,,876.4,9377.55,906.7,314.0,82.75,822.2,2545.55,150.7,498.45,404.45,2594.55,379.8,1145.5,341.6,2662.5,2818.3,219.25,552.4,,1612.0
2015-01-02,1425.9,492.4,,319.35,,230.95,1127.85,775.05,,514.3,2451.75,3443.75,1275.65,1436.35,,1096.25,452.5,644.4,365.05,428.75,19539.85,1878.55,490.35,630.15,381.75,1843.9,139.2,234.7,1752.9,3221.4,15081.95,,444.6,,970.1,3495.7,1605.25,,965.3,,275.1,3098.1,160.1,755.95,1171.9,362.3,,,368.3,334.6,337.2,815.9,854.2,2013.2,,1069.15,1371.5,1271.55,,1534.65,1432.3,1224.65,329.95,3359.6,1299.1,203.45,146.95,144.4,6331.5,349.2,,549.6,559.9,839.5,138.75,5836.05,219.8,885.55,,,921.75,9325.9,914.35,315.25,82.85,826.25,2579.45,152.5,511.8,410.75,2607.25,382.8,1192.5,352.25,2742.1,2812.75,222.3,557.3,,1627.65
2015-01-05,1433.65,500.55,,323.8,,230.65,1131.6,775.0,,517.55,2460.7,3434.75,1258.7,1457.35,,1095.95,437.6,645.65,356.95,429.35,19736.05,1879.85,498.05,633.0,380.25,1828.15,135.8,231.45,1742.35,3148.4,15150.55,,446.0,,970.45,3508.85,1578.25,,957.15,,277.8,3119.4,156.85,760.3,1156.4,363.05,,,369.75,338.2,342.4,819.1,849.45,1995.9,,1066.6,1380.3,1266.45,,1556.0,1430.3,1218.45,323.95,3447.8,1271.65,198.45,146.2,144.0,6334.9,353.15,,542.3,551.8,838.1,138.9,5839.7,217.75,875.85,,,907.45,9302.55,918.65,312.75,82.7,826.75,2540.25,152.95,523.8,416.7,2563.75,385.9,1187.2,345.7,2747.7,2793.6,219.8,558.3,,1699.4
2015-01-06,1383.55,496.75,,321.85,,222.15,1097.9,756.5,,499.05,2441.5,3425.85,1229.6,1430.9,,1059.5,423.35,639.15,354.15,414.8,19188.7,1881.9,482.25,614.35,379.95,1840.15,133.65,224.35,1674.15,3065.55,14755.9,,431.9,,952.0,3375.05,1536.1,,942.25,,262.65,3014.4,153.4,774.7,1101.95,347.65,,,360.25,334.45,341.55,798.4,837.45,1954.2,,1027.7,1336.2,1251.35,,1504.1,1395.85,1211.65,327.65,3395.25,1206.9,195.95,139.95,139.2,6246.8,333.15,,540.7,526.6,827.2,135.8,5799.35,207.75,836.1,,,867.4,9076.35,895.7,299.9,78.65,808.55,2446.6,148.15,501.4,396.5,2536.25,372.7,1132.6,328.95,2670.6,2797.45,209.05,545.25,,1660.2
2015-01-07,1367.45,492.35,,321.1,,220.1,1106.5,771.7,,498.65,2447.2,3495.6,1228.55,1428.65,,1066.7,435.75,644.95,355.0,404.35,19156.7,1995.75,480.3,611.95,374.7,1874.35,134.6,227.75,1649.65,3039.2,14959.9,,420.9,,960.15,3417.5,1499.6,,945.0,,266.25,2974.05,148.9,801.9,1099.25,338.25,,,353.55,335.05,342.65,791.95,843.4,1963.55,,1011.85,1319.05,1271.5,,1500.5,1377.6,1224.15,322.0,3437.75,1192.15,195.6,135.85,142.55,6272.95,338.05,,532.25,519.95,835.25,137.75,5845.65,203.85,854.3,,,857.75,9064.0,899.2,300.15,77.8,809.8,2417.7,148.45,493.85,388.9,2524.4,374.6,1126.55,323.05,2660.05,2806.7,209.0,541.1,,1648.9
2015-01-08,1391.4,511.75,,334.55,,226.4,1126.35,820.35,,501.95,2450.4,3489.65,1289.8,1466.45,,1077.6,239.9,677.6,361.15,410.7,19618.9,1969.2,487.7,618.2,379.45,1924.9,142.75,230.0,1653.05,3066.3,14873.7,,430.75,,990.15,3424.95,1534.3,,964.85,,273.8,2984.0,152.55,817.05,1123.35,347.45,,,362.4,343.5,344.05,798.7,848.3,1973.45,,1022.1,1351.9,1340.65,,1510.05,1407.95,1237.6,321.55,3475.5,1205.95,196.55,137.55,144.95,6300.45,341.8,,535.7,519.8,840.4,138.35,5964.9,206.55,842.05,,,864.85,9161.75,920.4,304.85,79.15,818.8,2443.8,153.7,512.0,394.95,2566.65,372.9,1147.5,332.8,2727.45,2833.45,210.5,545.0,,1647.15
2015-01-09,1398.5,506.65,,331.15,,223.8,1124.65,812.5,,494.95,2375.85,3450.05,1279.2,1428.75,,1060.45,244.6,679.35,355.8,415.95,19450.3,1945.3,485.55,632.35,375.05,1920.2,137.85,229.45,1702.25,3163.8,14738.7,,435.3,,1023.55,3404.55,1545.55,,975.65,,273.1,2992.25,155.0,864.6,1113.3,341.85,,,356.9,341.7,343.0,802.0,866.65,2074.45,,1012.95,1375.5,1360.95,,1500.25,1420.7,1238.2,318.95,3468.2,1261.05,196.3,135.35,140.25,6386.35,351.0,,531.85,522.25,842.05,138.45,6148.2,206.6,860.3,,,855.65,9188.3,914.45,303.2,78.55,830.05,2512.3,155.6,522.3,399.65,2680.35,372.9,1184.35,332.35,2729.35,2857.1,207.8,553.5,,1686.7
2015-01-12,1404.6,514.55,,328.45,,228.0,1118.45,807.75,,501.55,2334.0,3438.2,1267.7,1452.5,,1080.0,230.55,676.4,348.95,420.3,20326.25,1932.0,496.15,630.75,357.85,1926.85,136.5,234.75,1706.3,3207.25,14857.65,,430.25,,1058.85,3435.55,1575.55,,967.05,,270.85,2937.15,151.1,896.6,1128.55,346.55,,,357.85,339.5,342.5,829.45,853.05,2115.95,,1000.7,1418.4,1371.0,,1534.2,1431.0,1233.0,318.75,3462.9,1288.15,196.15,133.7,140.0,6462.75,347.7,,532.35,525.7,831.75,136.5,6120.0,208.95,850.3,,,847.9,9202.05,926.2,307.1,80.0,835.3,2509.7,157.35,522.3,396.75,2754.0,376.8,1138.2,330.6,2700.3,3044.75,206.25,556.05,,1652.45
2015-01-13,1441.7,496.7,,323.0,,230.1,1150.1,833.85,,504.5,2324.1,3483.0,1286.45,1463.95,,1081.6,234.6,669.55,346.3,426.9,20403.55,1933.4,499.15,636.4,361.2,1939.7,133.25,235.75,1723.9,3223.35,14799.15,,428.15,,1081.15,3546.35,1583.6,,963.35,,270.35,2893.2,151.7,884.55,1122.2,340.9,,,360.1,340.15,340.7,825.5,855.3,2088.9,,993.45,1397.1,1392.95,,1519.5,1433.05,1248.8,334.25,3468.25,1331.35,196.05,135.0,138.95,6714.65,339.95,,528.1,538.55,840.35,135.85,6097.5,207.35,843.15,,,897.75,9231.9,919.4,305.1,78.25,833.1,2497.9,155.25,519.45,391.5,2761.1,372.2,1147.95,344.75,2818.5,3104.05,204.6,563.5,,1646.75
2015-01-14,1478.35,491.35,,331.25,,232.85,1160.55,842.65,,499.6,2363.45,3773.95,1254.2,1496.1,,1075.05,228.3,651.7,345.8,423.65,20985.95,1946.05,522.15,631.4,363.2,1938.7,133.35,251.05,1705.3,3208.25,14833.55,,426.5,,1085.45,3566.8,1578.8,,963.9,,263.65,2903.05,142.15,924.05,1120.3,336.9,,,347.8,335.7,339.2,816.65,844.95,2128.65,,968.25,1398.1,1391.2,,1518.0,1423.35,1236.95,351.85,3516.0,1387.9,192.45,132.7,137.75,6781.85,344.05,,529.45,567.3,836.9,136.05,6122.95,203.05,834.95,,,916.8,9262.4,931.65,304.7,77.05,820.65,2521.95,154.85,520.35,376.85,2791.55,371.6,1125.6,358.2,2908.85,3064.45,188.1,551.95,,1611.55
