Date,ACC,ADANIENT,ADANIGREEN,ADANIPORTS,ADANITRANS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,DMART,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BAJAJHLDNG,BANDHANBNK,BANKBARODA,BERGEPAINT,BPCL,BHARTIARTL,BIOCON,BOSCHLTD,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,COLPAL,DLF,DABUR,DIVISLAB,DRREDDY,EICHERMOT,NYKAA,GAIL,GLAND,GODREJCP,GRASIM,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HAVELLS,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ICICIGI,ICICIPRULI,ITC,IOC,INDUSTOWER,INDUSINDBK,NAUKRI,INFY,INDIGO,JSWSTEEL,JUBLFOOD,KOTAKBANK,LTI,LT,LUPIN,M&M,MARICO,MARUTI,MINDTREE,MUTHOOTFIN,NMDC,NTPC,NESTLEIND,ONGC,PAYTM,PIIND,PIDILITIND,PEL,POWERGRID,PGHH,PNB,RELIANCE,SBICARD,SBILIFE,SRF,SHREECEM,SIEMENS,SBIN,SAIL,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,TORNTPHARM,UPL,ULTRACEMCO,MCDOWELL-N,VEDL,WIPRO,ZOMATO,ZYDUSLIFE
2015-01-01,1400.15,485.4,,319.0,,229.0,1131.0,751.1,,502.65,2431.0,3483.95,1309.9,1400.05,,1080.1,402.05,648.9,354.4,424.25,19307.05,1838.55,470.0,626.5,383.0,1786.0,137.0,233.3,1734.8,3230.0,15011.0,,443.0,,970.0,3394.0,1599.0,,951.0,,275.75,3111.0,157.4,759.3,1130.0,352.7,,,367.6,332.75,333.5,803.4,850.4,1968.95,,1048.9,1384.5,1263.8,,1493.8,1428.4,1238.0,328.0,3320.25,1299.0,196.0,145.0,144.2,6385.0,340.25,,520.0,543.9,832.6,138.0,5762.1,218.25,886.3,,,877.0,9405.65,904.1,312.45,82.55,826.5,2567.0,150.95,494.5,397.1,2589.0,381.3,1125.0,346.2,2678.9,2780.0,213.7,552.55,,1615.25
2015-01-02,1406.4,491.3,,319.35,,228.0,1125.05,751.25,,503.2,2457.0,3490.0,1291.7,1407.0,,1085.9,402.2,650.9,363.8,424.8,19415.0,1842.0,475.0,633.0,380.5,1808.1,138.4,233.95,1754.0,3220.0,15450.0,,443.7,,965.9,3405.1,1602.05,,950.4,,276.3,3115.0,158.9,757.0,1127.3,352.0,,,367.25,337.95,335.6,816.0,861.0,1972.0,,1070.1,1367.0,1261.0,,1501.5,1435.0,1230.25,325.6,3360.0,1299.9,216.5,149.0,142.5,6256.05,344.1,,540.0,558.0,831.95,137.15,5776.0,220.0,888.1,,,909.0,9400.0,910.0,314.35,82.7,824.0,2551.0,150.9,497.25,406.0,2587.0,379.8,1145.0,341.75,2669.5,2820.0,219.35,553.4,,1615.9
2015-01-05,1425.0,491.1,,320.45,,230.95,1127.85,779.9,,516.9,2452.0,3465.0,1268.05,1435.0,,1095.2,454.95,645.0,366.25,428.0,19480.0,1889.0,494.0,626.0,381.0,1845.8,136.8,235.95,1752.75,3221.4,15020.0,,443.35,,975.0,3500.0,1615.0,,970.0,,275.9,3104.0,161.0,759.75,1168.8,365.3,,,368.7,335.35,332.5,818.0,858.05,2009.9,,1069.15,1377.55,1272.1,,1545.35,1434.15,1220.1,327.0,3382.0,1292.0,204.0,147.25,144.55,6370.0,347.0,,549.6,562.5,839.6,138.5,5810.0,221.45,885.0,,,928.0,9299.5,908.0,316.25,82.75,826.1,2581.0,151.65,510.1,413.0,2600.0,384.0,1185.0,350.0,2748.0,2833.0,222.5,557.05,,1647.95
2015-01-06,1425.0,495.6,,321.65,,230.0,1129.55,775.0,,513.55,2454.3,3450.0,1250.0,1448.0,,1089.0,442.0,652.4,356.1,425.1,19538.7,1885.0,498.0,631.0,374.0,1835.0,134.0,230.0,1730.0,3130.0,15000.0,,443.9,,975.0,3487.0,1574.0,,954.0,,277.4,3098.0,156.3,767.0,1148.6,359.4,,,368.65,339.5,342.0,816.0,852.0,1980.0,,1054.1,1376.0,1255.0,,1541.0,1425.0,1215.0,323.1,3439.0,1271.0,193.85,145.9,143.5,6296.0,348.55,,539.9,551.9,834.8,138.05,5830.0,215.0,870.0,,,901.0,9315.0,910.0,310.0,82.4,823.0,2529.1,151.95,514.35,414.0,2555.05,382.2,1179.95,342.95,2737.7,2798.0,217.95,555.0,,1695.0
2015-01-07,1382.0,500.0,,321.95,,222.0,1110.0,763.4,,498.8,2442.0,3403.75,1230.25,1431.05,,1060.0,430.8,637.0,351.95,414.25,19222.0,1891.95,493.0,614.35,380.0,1846.5,133.45,225.95,1676.2,3075.1,14760.0,,428.0,,952.1,3400.0,1539.5,,939.7,,263.0,3014.0,153.8,779.0,1097.5,345.6,,,357.0,334.1,342.0,800.1,831.25,1965.0,,1016.0,1336.1,1247.5,,1498.75,1395.85,1212.0,327.7,3400.0,1206.9,195.9,140.7,140.5,6265.0,333.0,,547.0,528.1,819.6,135.0,5741.4,207.2,837.1,,,865.0,9085.0,901.0,300.0,78.6,809.1,2470.0,147.2,495.0,397.8,2545.0,372.9,1148.0,327.9,2675.0,2781.0,209.0,543.2,,1661.0
2015-01-08,1378.0,499.3,,326.0,,221.95,1110.05,783.8,,506.0,2447.65,3465.5,1230.0,1438.0,,1079.9,224.0,649.0,356.55,407.5,19215.05,2010.1,482.5,615.0,384.7,1898.8,136.8,229.1,1660.0,3060.0,14963.0,,424.2,,965.0,3430.0,1517.0,,954.25,,267.3,2978.0,150.7,803.9,1114.0,345.0,,,355.45,335.95,343.35,800.0,845.1,1985.6,,1025.0,1338.45,1300.0,,1519.5,1385.0,1230.0,322.0,3465.0,1198.0,197.0,137.25,143.3,6275.0,342.95,,549.95,525.0,840.6,138.0,5869.25,206.7,860.1,,,866.0,9200.0,909.5,305.0,78.3,815.0,2442.4,149.9,504.0,394.0,2528.0,380.0,1148.0,326.05,2675.0,2809.0,211.3,556.15,,1659.0
2015-01-09,1397.8,516.0,,339.9,,226.7,1134.3,828.45,,504.9,2455.0,3481.0,1293.95,1462.0,,1084.4,243.6,684.0,362.5,412.95,19660.1,1976.0,499.0,624.0,382.0,1926.95,143.5,231.15,1660.0,3095.0,14925.45,,433.4,,998.0,3430.0,1536.65,,972.9,,275.7,2998.85,153.1,818.5,1127.0,349.95,,,363.1,345.7,350.0,804.0,841.0,1980.1,,1027.0,1365.0,1354.4,,1522.0,1411.0,1242.8,322.5,3500.0,1212.0,201.05,138.1,145.15,6370.0,347.1,,536.0,528.7,844.5,138.3,5970.0,209.0,848.4,,,872.0,9185.0,928.0,306.7,79.7,820.0,2455.0,154.5,521.25,402.0,2568.0,376.0,1166.7,334.9,2760.0,2845.0,213.9,549.2,,1670.0
2015-01-12,1400.0,510.65,,332.15,,223.9,1126.0,813.05,,495.0,2385.0,3450.05,1255.0,1420.05,,1060.0,244.0,685.0,355.7,417.0,19730.0,1954.0,487.0,630.9,374.9,1927.95,137.6,229.8,1713.0,3153.0,14652.0,,435.0,,1029.0,3409.5,1555.1,,969.4,,274.9,2988.0,155.2,867.5,1114.35,342.75,,,357.45,341.1,338.2,804.95,882.0,2092.0,,1010.05,1375.0,1360.95,,1503.9,1422.65,1234.3,319.7,3470.0,1265.0,196.5,136.9,141.0,6420.0,352.05,,528.55,522.9,840.55,137.6,6148.0,206.5,860.5,,,859.9,9115.0,915.5,304.15,78.45,832.45,2517.0,156.35,518.5,399.5,2697.0,373.25,1191.0,332.8,2727.7,2950.0,207.05,550.0,,1686.7
2015-01-13,1411.4,517.95,,330.2,,228.0,1119.0,813.0,,504.0,2340.0,3440.1,1275.0,1457.0,,1085.0,232.95,680.4,349.9,428.05,20400.0,1948.0,499.0,631.0,358.5,1931.5,137.1,235.95,1705.0,3210.0,14899.95,,429.25,,1058.0,3467.0,1575.55,,968.95,,271.0,2951.0,152.1,899.95,1134.4,349.0,,,358.4,341.0,347.95,845.0,868.0,2107.8,,1005.95,1422.0,1372.0,,1544.95,1432.2,1230.0,319.3,3483.8,1289.0,195.35,134.0,139.25,6470.0,348.0,,534.95,525.15,844.5,136.55,6090.0,209.3,853.0,,,845.05,9231.05,937.7,308.15,79.7,837.05,2520.0,157.55,520.35,397.0,2764.0,375.85,1135.0,332.0,2735.0,3059.0,207.0,557.1,,1647.0
2015-01-14,1448.0,498.5,,324.0,,231.25,1154.4,840.0,,504.5,2318.3,3499.85,1280.0,1459.0,,1080.1,235.0,675.95,346.95,426.35,20302.0,1951.0,505.0,638.8,363.9,1946.0,132.65,236.0,1720.0,3205.0,14765.0,,425.9,,1094.0,3545.0,1595.9,,960.05,,269.0,2909.0,150.95,888.8,1128.7,339.25,,,359.7,338.55,340.1,831.7,868.8,2098.5,,995.0,1402.0,1394.1,,1522.5,1431.0,1245.3,334.1,3471.85,1343.9,196.2,135.5,139.7,6735.0,340.0,,528.1,545.95,842.0,135.8,6110.0,206.9,843.0,,,905.7,9289.2,916.5,304.0,78.0,831.0,2516.0,155.05,521.5,391.45,2764.0,373.05,1150.1,345.8,2829.0,3112.0,202.0,566.0,,1652.0
