Date,USDEUR,USDCAD,USDINR,USDJPY,USDCNY,USDAUD,USDGBP
2011-01-01,0.74704915,0.9973,,81.11,,,0.64077918
2011-01-02,0.74878322,0.9928,44.818,81.107,6.5916,,0.64230201
2011-01-03,0.74859,0.9925,44.61,81.66,6.58,0.98386462,0.64559
2011-01-04,0.75069,0.997,44.9,82.045,6.597,0.99315714,0.64111
2011-01-05,0.76007,0.9965,45.21,83.16,6.5775,1.0,0.64466
2011-01-06,0.77043,0.9976,45.18,83.32,6.6165,1.007191,0.64721
2011-01-07,0.77453,0.9916,45.15,83.03,6.6175,1.004419,0.64309
2011-01-08,0.77441338,0.9923,,83.16,,,0.64271482
2011-01-09,0.77561467,0.9919,45.358,83.062,6.6175,,0.64358347
2011-01-10,0.77125,0.9926,45.31,82.715,6.626,1.005732,0.64144
2011-01-11,0.77036,0.9893,45.098,83.36,6.61,1.018537,0.6407
2011-01-12,0.76179,0.98659,44.91,83.071,6.5942,1.00449,0.63495
2011-01-13,0.749,0.98906,44.96,82.775,6.5957,1.002104,0.6312
2011-01-14,0.74772,0.9892,45.25,82.99,6.5792,1.010713,0.62988
2011-01-15,0.75052536,0.9892,45.418,82.97,6.5792,,0.63011972
2011-01-16,0.74738415,0.9877,,82.89,,,0.62985777
2011-01-17,0.7529,0.9871,45.44,82.664,6.5833,1.007353,0.62893
2011-01-18,0.74743,0.99207,45.32,82.615,6.5746,1.002657,0.62645
2011-01-19,0.74338,0.9956,45.3,82.14,6.5727,1.003411,0.62601
2011-01-20,0.74246,0.9967,45.778,82.931,6.5766,1.014507,0.62854
2011-01-21,0.73454,0.9952,45.45,82.57,6.5736,1.010407,0.62477
2011-01-22,0.73653973,0.9939,45.588,82.57,6.5736,,0.62531265
2011-01-23,0.73448402,0.9934,,82.58,,,0.62539086
2011-01-24,0.73305,0.9934,45.45,82.535,6.5724,1.002606,0.6257
2011-01-25,0.73083,0.9971,45.6,82.25,6.5726,1.004924,0.63221
2011-01-26,0.72945,0.995,45.45,82.177,6.572,1.0,0.62781
2011-01-27,0.7287,0.9951,45.688,82.88,6.5719,1.010203,0.62784
2011-01-28,0.73481,1.0,45.838,82.12,6.5725,1.007353,0.63044
2011-01-29,0.73507791,1.0,45.838,82.11,6.5725,,0.63147259
2011-01-30,0.73681108,1.002,,82.09,,,0.63207129
2011-01-31,0.72932,1.0,45.8,82.08,6.5948,1.002908,0.62398
2011-02-01,0.72307,0.9904,45.41,81.416,6.5848,0.98951118,0.61973
2011-02-02,0.72375,0.98763,45.45,81.493,6.5485,0.98873827,0.61713
2011-02-03,0.73394,0.9907,45.56,81.674,6.5485,0.98619329,0.61985
2011-02-04,0.73589,0.9882,45.46,82.19,6.5485,0.98609604,0.62116
2011-02-05,0.73637702,0.9872,45.608,82.17,6.5485,,0.62173588
2011-02-06,0.73675679,0.9875,45.608,82.22,6.5485,,0.62127236
2011-02-07,0.73573,0.99,45.31,82.302,6.5526,0.98716683,0.62
2011-02-08,0.73391,0.99489,45.15,82.26,6.5445,0.98562952,0.62242
2011-02-09,0.72879,0.99407,45.35,82.41,6.5802,0.9896091,0.62104
2011-02-10,0.73513,0.99575,45.63,83.345,6.5745,0.99880143,0.6212
2011-02-11,0.73812,0.9867,45.55,83.44,6.5798,0.99820323,0.62488
2011-02-12,0.7382253,0.9881,,83.43,,,0.62488283
2011-02-13,0.74019245,0.9871,45.608,83.44,6.5798,,0.625
2011-02-14,0.74187,0.9896,45.35,83.39,6.5853,0.99809364,0.6239
2011-02-15,0.74081,0.9892,45.41,83.701,6.5814,1.003009,0.61954
2011-02-16,0.73665,0.9844,45.31,83.59,6.5786,0.99700897,0.62139
2011-02-17,0.73401,0.9839,45.21,83.29,6.5737,0.9884353,0.61816
